hv,h,v,ulx,uly,lrx,lry
h00v08,0.0,8.0,-20015109.354,1111950.519667,-18903158.834333,0.0
h00v09,0.0,9.0,-20015109.354,0.0,-18903158.834333,-1111950.519667
h00v10,0.0,10.0,-20015109.354,-1111950.519667,-18903158.834333,-2223901.039333
h01v07,1.0,7.0,-18903158.834333,2223901.039333,-17791208.314667,1111950.519667
h01v08,1.0,8.0,-18903158.834333,1111950.519667,-17791208.314667,0.0
h01v09,1.0,9.0,-18903158.834333,0.0,-17791208.314667,-1111950.519667
h01v10,1.0,10.0,-18903158.834333,-1111950.519667,-17791208.314667,-2223901.039333
h01v11,1.0,11.0,-18903158.834333,-2223901.039333,-17791208.314667,-3335851.559
h02v06,2.0,6.0,-17791208.314667,3335851.559,-16679257.795,2223901.039333
h02v08,2.0,8.0,-17791208.314667,1111950.519667,-16679257.795,0.0
h02v09,2.0,9.0,-17791208.314667,0.0,-16679257.795,-1111950.519667
h02v10,2.0,10.0,-17791208.314667,-1111950.519667,-16679257.795,-2223901.039333
h02v11,2.0,11.0,-17791208.314667,-2223901.039333,-16679257.795,-3335851.559
h03v05,3.0,5.0,-16679257.795,4447802.078667,-15567307.275333,3335851.559
h03v06,3.0,6.0,-16679257.795,3335851.559,-15567307.275333,2223901.039333
h03v07,3.0,7.0,-16679257.795,2223901.039333,-15567307.275333,1111950.519667
h03v08,3.0,8.0,-16679257.795,1111950.519667,-15567307.275333,0.0
h03v09,3.0,9.0,-16679257.795,0.0,-15567307.275333,-1111950.519667
h03v10,3.0,10.0,-16679257.795,-1111950.519667,-15567307.275333,-2223901.039333
h03v11,3.0,11.0,-16679257.795,-2223901.039333,-15567307.275333,-3335851.559
h04v05,4.0,5.0,-15567307.275333,4447802.078667,-14455356.755667,3335851.559
h04v09,4.0,9.0,-15567307.275333,0.0,-14455356.755667,-1111950.519667
h04v10,4.0,10.0,-15567307.275333,-1111950.519667,-14455356.755667,-2223901.039333
h04v11,4.0,11.0,-15567307.275333,-2223901.039333,-14455356.755667,-3335851.559
h05v10,5.0,10.0,-14455356.755667,-1111950.519667,-13343406.236,-2223901.039333
h05v11,5.0,11.0,-14455356.755667,-2223901.039333,-13343406.236,-3335851.559
h05v13,5.0,13.0,-14455356.755667,-4447802.078667,-13343406.236,-5559752.598333
h06v03,6.0,3.0,-13343406.236,6671703.118,-12231455.716333,5559752.598333
h06v11,6.0,11.0,-13343406.236,-2223901.039333,-12231455.716333,-3335851.559
h07v03,7.0,3.0,-12231455.716333,6671703.118,-11119505.196667,5559752.598333
h07v05,7.0,5.0,-12231455.716333,4447802.078667,-11119505.196667,3335851.559
h07v06,7.0,6.0,-12231455.716333,3335851.559,-11119505.196667,2223901.039333
h07v07,7.0,7.0,-12231455.716333,2223901.039333,-11119505.196667,1111950.519667
h08v03,8.0,3.0,-11119505.196667,6671703.118,-10007554.677,5559752.598333
h08v04,8.0,4.0,-11119505.196667,5559752.598333,-10007554.677,4447802.078667
h08v05,8.0,5.0,-11119505.196667,4447802.078667,-10007554.677,3335851.559
h08v06,8.0,6.0,-11119505.196667,3335851.559,-10007554.677,2223901.039333
h08v07,8.0,7.0,-11119505.196667,2223901.039333,-10007554.677,1111950.519667
h08v08,8.0,8.0,-11119505.196667,1111950.519667,-10007554.677,0.0
h08v09,8.0,9.0,-11119505.196667,0.0,-10007554.677,-1111950.519667
h08v11,8.0,11.0,-11119505.196667,-2223901.039333,-10007554.677,-3335851.559
h09v02,9.0,2.0,-10007554.677,7783653.637667,-8895604.157333,6671703.118
h09v03,9.0,3.0,-10007554.677,6671703.118,-8895604.157333,5559752.598333
h09v04,9.0,4.0,-10007554.677,5559752.598333,-8895604.157333,4447802.078667
h09v05,9.0,5.0,-10007554.677,4447802.078667,-8895604.157333,3335851.559
h09v06,9.0,6.0,-10007554.677,3335851.559,-8895604.157333,2223901.039333
h09v07,9.0,7.0,-10007554.677,2223901.039333,-8895604.157333,1111950.519667
h09v08,9.0,8.0,-10007554.677,1111950.519667,-8895604.157333,0.0
h09v09,9.0,9.0,-10007554.677,0.0,-8895604.157333,-1111950.519667
h10v02,10.0,2.0,-8895604.157333,7783653.637667,-7783653.637667,6671703.118
h10v03,10.0,3.0,-8895604.157333,6671703.118,-7783653.637667,5559752.598333
h10v04,10.0,4.0,-8895604.157333,5559752.598333,-7783653.637667,4447802.078667
h10v05,10.0,5.0,-8895604.157333,4447802.078667,-7783653.637667,3335851.559
h10v06,10.0,6.0,-8895604.157333,3335851.559,-7783653.637667,2223901.039333
h10v07,10.0,7.0,-8895604.157333,2223901.039333,-7783653.637667,1111950.519667
h10v08,10.0,8.0,-8895604.157333,1111950.519667,-7783653.637667,0.0
h10v09,10.0,9.0,-8895604.157333,0.0,-7783653.637667,-1111950.519667
h10v10,10.0,10.0,-8895604.157333,-1111950.519667,-7783653.637667,-2223901.039333
h10v11,10.0,11.0,-8895604.157333,-2223901.039333,-7783653.637667,-3335851.559
h11v01,11.0,1.0,-7783653.637667,8895604.157333,-6671703.118,7783653.637667
h11v02,11.0,2.0,-7783653.637667,7783653.637667,-6671703.118,6671703.118
h11v03,11.0,3.0,-7783653.637667,6671703.118,-6671703.118,5559752.598333
h11v04,11.0,4.0,-7783653.637667,5559752.598333,-6671703.118,4447802.078667
h11v05,11.0,5.0,-7783653.637667,4447802.078667,-6671703.118,3335851.559
h11v06,11.0,6.0,-7783653.637667,3335851.559,-6671703.118,2223901.039333
h11v07,11.0,7.0,-7783653.637667,2223901.039333,-6671703.118,1111950.519667
h11v08,11.0,8.0,-7783653.637667,1111950.519667,-6671703.118,0.0
h11v09,11.0,9.0,-7783653.637667,0.0,-6671703.118,-1111950.519667
h11v10,11.0,10.0,-7783653.637667,-1111950.519667,-6671703.118,-2223901.039333
h11v11,11.0,11.0,-7783653.637667,-2223901.039333,-6671703.118,-3335851.559
h11v12,11.0,12.0,-7783653.637667,-3335851.559,-6671703.118,-4447802.078667
h12v01,12.0,1.0,-6671703.118,8895604.157333,-5559752.598333,7783653.637667
h12v02,12.0,2.0,-6671703.118,7783653.637667,-5559752.598333,6671703.118
h12v03,12.0,3.0,-6671703.118,6671703.118,-5559752.598333,5559752.598333
h12v04,12.0,4.0,-6671703.118,5559752.598333,-5559752.598333,4447802.078667
h12v05,12.0,5.0,-6671703.118,4447802.078667,-5559752.598333,3335851.559
h12v07,12.0,7.0,-6671703.118,2223901.039333,-5559752.598333,1111950.519667
h12v08,12.0,8.0,-6671703.118,1111950.519667,-5559752.598333,0.0
h12v09,12.0,9.0,-6671703.118,0.0,-5559752.598333,-1111950.519667
h12v10,12.0,10.0,-6671703.118,-1111950.519667,-5559752.598333,-2223901.039333
h12v11,12.0,11.0,-6671703.118,-2223901.039333,-5559752.598333,-3335851.559
h12v12,12.0,12.0,-6671703.118,-3335851.559,-5559752.598333,-4447802.078667
h12v13,12.0,13.0,-6671703.118,-4447802.078667,-5559752.598333,-5559752.598333
h13v01,13.0,1.0,-5559752.598333,8895604.157333,-4447802.078667,7783653.637667
h13v02,13.0,2.0,-5559752.598333,7783653.637667,-4447802.078667,6671703.118
h13v03,13.0,3.0,-5559752.598333,6671703.118,-4447802.078667,5559752.598333
h13v04,13.0,4.0,-5559752.598333,5559752.598333,-4447802.078667,4447802.078667
h13v08,13.0,8.0,-5559752.598333,1111950.519667,-4447802.078667,0.0
h13v09,13.0,9.0,-5559752.598333,0.0,-4447802.078667,-1111950.519667
h13v10,13.0,10.0,-5559752.598333,-1111950.519667,-4447802.078667,-2223901.039333
h13v11,13.0,11.0,-5559752.598333,-2223901.039333,-4447802.078667,-3335851.559
h13v12,13.0,12.0,-5559752.598333,-3335851.559,-4447802.078667,-4447802.078667
h13v13,13.0,13.0,-5559752.598333,-4447802.078667,-4447802.078667,-5559752.598333
h13v14,13.0,14.0,-5559752.598333,-5559752.598333,-4447802.078667,-6671703.118
h14v00,14.0,0.0,-4447802.078667,10007554.677,-3335851.559,8895604.157333
h14v01,14.0,1.0,-4447802.078667,8895604.157333,-3335851.559,7783653.637667
h14v02,14.0,2.0,-4447802.078667,7783653.637667,-3335851.559,6671703.118
h14v03,14.0,3.0,-4447802.078667,6671703.118,-3335851.559,5559752.598333
h14v04,14.0,4.0,-4447802.078667,5559752.598333,-3335851.559,4447802.078667
h14v09,14.0,9.0,-4447802.078667,0.0,-3335851.559,-1111950.519667
h14v10,14.0,10.0,-4447802.078667,-1111950.519667,-3335851.559,-2223901.039333
h14v11,14.0,11.0,-4447802.078667,-2223901.039333,-3335851.559,-3335851.559
h14v14,14.0,14.0,-4447802.078667,-5559752.598333,-3335851.559,-6671703.118
h14v15,14.0,15.0,-4447802.078667,-6671703.118,-3335851.559,-7783653.637667
h14v16,14.0,16.0,-4447802.078667,-7783653.637667,-3335851.559,-8895604.157333
h14v17,14.0,17.0,-4447802.078667,-8895604.157333,-3335851.559,-10007554.677
h15v00,15.0,0.0,-3335851.559,10007554.677,-2223901.039333,8895604.157333
h15v01,15.0,1.0,-3335851.559,8895604.157333,-2223901.039333,7783653.637667
h15v02,15.0,2.0,-3335851.559,7783653.637667,-2223901.039333,6671703.118
h15v03,15.0,3.0,-3335851.559,6671703.118,-2223901.039333,5559752.598333
h15v05,15.0,5.0,-3335851.559,4447802.078667,-2223901.039333,3335851.559
h15v07,15.0,7.0,-3335851.559,2223901.039333,-2223901.039333,1111950.519667
h15v11,15.0,11.0,-3335851.559,-2223901.039333,-2223901.039333,-3335851.559
h15v14,15.0,14.0,-3335851.559,-5559752.598333,-2223901.039333,-6671703.118
h15v15,15.0,15.0,-3335851.559,-6671703.118,-2223901.039333,-7783653.637667
h15v16,15.0,16.0,-3335851.559,-7783653.637667,-2223901.039333,-8895604.157333
h15v17,15.0,17.0,-3335851.559,-8895604.157333,-2223901.039333,-10007554.677
h16v00,16.0,0.0,-2223901.039333,10007554.677,-1111950.519667,8895604.157333
h16v01,16.0,1.0,-2223901.039333,8895604.157333,-1111950.519667,7783653.637667
h16v02,16.0,2.0,-2223901.039333,7783653.637667,-1111950.519667,6671703.118
h16v05,16.0,5.0,-2223901.039333,4447802.078667,-1111950.519667,3335851.559
h16v06,16.0,6.0,-2223901.039333,3335851.559,-1111950.519667,2223901.039333
h16v07,16.0,7.0,-2223901.039333,2223901.039333,-1111950.519667,1111950.519667
h16v08,16.0,8.0,-2223901.039333,1111950.519667,-1111950.519667,0.0
h16v09,16.0,9.0,-2223901.039333,0.0,-1111950.519667,-1111950.519667
h16v12,16.0,12.0,-2223901.039333,-3335851.559,-1111950.519667,-4447802.078667
h16v14,16.0,14.0,-2223901.039333,-5559752.598333,-1111950.519667,-6671703.118
h16v16,16.0,16.0,-2223901.039333,-7783653.637667,-1111950.519667,-8895604.157333
h16v17,16.0,17.0,-2223901.039333,-8895604.157333,-1111950.519667,-10007554.677
h17v00,17.0,0.0,-1111950.519667,10007554.677,0.0,8895604.157333
h17v01,17.0,1.0,-1111950.519667,8895604.157333,0.0,7783653.637667
h17v02,17.0,2.0,-1111950.519667,7783653.637667,0.0,6671703.118
h17v03,17.0,3.0,-1111950.519667,6671703.118,0.0,5559752.598333
